target_id	pval	qval	test_stat	rss	degrees_free	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq
ENST00000241014	0.00827749601933927	0.264592802104076	6.97243118445008	12.8752846377979	1	2.2154827979951	0.919663188414133	0.144017145490883	0.77564604292325	0.893933631503542	0.893933631503542
ENST00000338920	0.00830675869345968	0.264592802104076	6.96611643614741	95.6403399946719	1	2.4079093886328	6.83145285676228	2.74328901650712	4.08816384025516	0.887821742757867	4.08816384025516
ENST00000604729	0.00830599285014804	0.264592802104076	6.96628141134987	39.9839334390713	1	3.19643874254439	2.85599524564795	2.37265635147115	0.4833388941768	0.670119765517951	0.670119765517951
ENST00000533244	0.00835122816498848	0.265301213758648	6.95656357326985	20.0479069952313	1	2.1558056248421	1.43199335680223	0.907988073306763	0.52400528349547	0.897918429565461	0.897918429565461
ENST00000633438	0.00836128186462518	0.265301213758648	6.95441106675456	26.4318144468691	1	2.33178590354356	1.88798674620493	1.02975386572822	0.858232880476713	0.890765870110497	0.890765870110497
ENST00000455111	0.0083920592709982	0.265764713252652	6.94783801971679	50.7389947720809	1	1.56108301130988	3.62421391229149	1.45004535771382	2.17416855457767	0.982321603118276	2.17416855457767
ENST00000316626	0.00845512746820545	0.267247067437355	6.93444543240891	53.345834976094	1	1.24952272400836	3.81041678400671	1.7828864241635	2.02753035984321	1.06940672556486	2.02753035984321
ENST00000367651	0.00849505265197119	0.267993637980419	6.92602001842802	5.54474468922526	1	4.80187477286888	0.396053192087519	0.276036975435843	0.120016216651676	0.176572656119814	0.176572656119814
ENST00000610743	0.0085134303148592	0.268058890143728	6.92215538821674	22.673153177389	1	2.01658513174999	1.61951094124207	1.12442221033579	0.49508873090628	0.90742498814949	0.90742498814949
ENST00000515172	0.00856517512360773	0.268434539692684	6.91131968446952	21.6910944218971	1	0.965693534555566	1.54936388727836	0.441226807606293	1.10813707967207	1.17293310223172	1.17293310223172
ENST00000537251	0.00859706890893432	0.268434539692684	6.90467423622456	13.7404172383762	1	1.51836893709187	0.981458374169729	0.255815686810455	0.725642687359274	0.992664907799385	0.992664907799385
ENST00000552656	0.00854815766022727	0.268434539692684	6.91487584319257	22.0618488906985	1	3.19166563424305	1.5758463493356	0.798827281257643	0.777019068077962	0.672291976385881	0.777019068077962
ENST00000598846	0.0086070213201536	0.268434539692684	6.9026056974857	23.0733144694057	1	1.68633494585495	1.64809389067184	0.250645709563965	1.39744818110787	0.954352346316411	1.39744818110787
ENST00000618853	0.00858790363917569	0.268434539692684	6.90658134194339	13.9588209150644	1	2.60011586896821	0.997058636790316	0.277818722244308	0.719239914546008	0.858612749816206	0.858612749816206
ENST00000551489	0.00862919649590776	0.268616427285492	6.89800553296186	27.6786471300238	1	0.985409960799891	1.97704622357313	0.365395434372797	1.61165078920033	1.16491094021978	1.61165078920033
ENST00000258781	0.00878358338347193	0.269376498440556	6.86630999878484	45.0685262572936	1	2.71444114998604	3.21918044694954	0.563347450601859	2.65583299634768	0.832960071742535	2.65583299634768
ENST00000261192	0.00877075831771612	0.269376498440556	6.86892117546409	3.4716045466208	1	4.15337042878679	0.247971753330057	0.0389840052576733	0.208987748072384	0.28793842188846	0.28793842188846
